place,location,description
"ISKCON Temple, Bangalore",bangalore," ISKCON Bangalore is one of the largest Krishna Hindu temples in the world. The cultural complex accommodating dedicated deities of Sri Sri Radha Krishnachandra, Sri Sri Krishna Balarama, Sri Sri Nitai Gauranga, Sri Srinivasa Govinda and Sri Prahlada Narasimha.  "
Wonderla Amusement Park,bangalore," Wonderla is the best amusement park in Bangalore. It houses water, roller coaster rides, a Ferris wheel and some VR experiences. "
Nandi Hills,bangalore," Nandi Hills is a scenic hill station situated close to Bangalore, serving as one of the most popular destinations for trekking of Karnataka and escaping the busy city life of Bangalore. "
Innovative Film City,bangalore," Innovative Film City is an Indian movie theme park, popular for a day trip. It houses amusement park rides, museums, adventure sports among other things.  "
Tipu Sultan's Summer Palace,bangalore," Tipu Sultan Palace was the summer residence of Tipu Sultan. It is now converted into a museum and is famous for its Indo-Islamic architecture consisting of ornamental frescoes, magnificent arches, protruding balconies and brilliant motifs. It is located inside the Bangalore Fort. "
"National Gallery Of Modern Art, Bangalore",bangalore," National Gallery of Modern Art is a two-storeyed museum based in a colonial-style residential building. It showcases the cultural ethos of India from periods as early as the 18th century. There is also a huge auditorium, a charming cafeteria, and a reference library here. "
Commercial Street,bangalore," Commercial Street is the oldest and busiest shopping place in Bangalore. It is famous for clothes, jewellery, electronics, footwear and local food joints. "
Art of Living International Centre,bangalore," Located 21 kms southwest of Bangalore on Kanakpura Road atop Panchagiri Hills, Art of Living Centre is the headquarters of the spiritual, cultural organization Art of Living Foundation, established by Sri Sri Ravi Shankar.  "
Vidhana Soudha,bangalore," Vidhana Soudha houses the State Legislature and the Secretariat of Karnataka. Popularly known as the 'Taj Mahal of South India', it is one of the most magnificent buildings in the city. It is illuminated on Sunday and public holidays. "
Jawaharlal Nehru Planetarium,bangalore," Jawaharlal Nehru Planetarium is a popular attraction in Bangalore. The Sky Theatre is its main attraction which imitates the way the sky looks to us. There is also a mirror dome show, a science park, and a special programme conducted here first Sunday evening of every month. "
Visvesvaraya Industrial and Technological Museum,bangalore," Visvesvaraya Industrial and Technological Museum houses machines and artefacts related to science and technology. There are also interesting shows and the ""Science for Kids"" centre here. It is a fun place to visit with kids. "
Ulsoor Lake,bangalore," Constructed by Kempe Gowda II in the 2nd century, this lake was earlier known as Halsur or Alasur. Although not fit for swimming, boating can be enjoyed at the lake. "
"Shiva Temple, Bangalore",bangalore, The Shiva Temple of Bangalore is considered one of the most beautiful Shiva temples in India. It is landmarked by a huge white monolith of Lord Shiva in a an artificial pool of water and Himalayas all around. 
UB City Mall,bangalore," Located in the CBD (Central Business District) in Bangalore, this luxury mall is the one-stop destination for all your high-end brand needs. It is home to all the luxury beauty, shoes, jewellery, bags and fashion brands from all around the globe. "
"MG Road, Bangalore",bangalore," MG Road is one of the most popular shopping and entertainment hubs in Bangalore. It runs from Trinity Circle to Anil Kumble Circle. Items such as traditional handicrafts, silk, sarees and cutlery and bone china are available here. MG Road is also popular for pubs and nightclubs. "
St,bangalore," St. Mary's Basilica is the oldest church in Bangalore and is the only church in the state that has been elevated to the status of a minor basilica. It is famous for the festivities it holds during the St. Mary's Feast, in September each year. "
Chunchi Falls,bangalore," Chunchi Falls is a 50-ft high waterfall fed by the river Arkavati. It is a popular day trip from Bangalore, perfect for a family picnic. There is a watchtower on the way to falls offering a stunning view. Swimming is prohibited in the falls. "
"Fun World, Bangalore",bangalore," Fun World Amusement Park is one of the most popular amusement parks in Bangalore. It houses various rides, roller coaster, Ferris wheel, bumper cars and a food court. "
HAL Aerospace Museum,bangalore," HAL Aerospace Museum is India's first aerospace museum. It houses a display of various aircraft and helicopters, Aircraft engine models, Flight simulators, a mock Air Traffic Control Tower and exhibits of Indian aviation history.  "
"Go-Karting, Bangalore",bangalore," Go-karting is the most breathtaking activities available at many places in Bangalore, which can be enjoyed with family and friends.   "
Muthyala Maduvu (Pearl Valley),bangalore," Muthyala Maduvu, popularly known as Pearl Valley, is a picnic spot and day trip from Bangalore. The main attraction here is a waterfall. It is also popular for trekking. "
Bull Temple,bangalore," This temple is one of the oldest in Bengaluru, and is dedicated to Nandi, the bull who is the wagon of Lord Shiva. "
Indian Music Experience,bangalore," Spread across 50,000 square feet, the Indian Music Experience in Bengaluru is the first interactive music museum of the nation that is most innovatively disrupting the conventional notion of museums among visitors. The Museum exhibits everything about Indian music under a single roof, right from classical to folk, regional and Bollywood. "
Sankey Tank,bangalore," Sankey Tank is a manmade lake, spread across an area of 37.5 acres near Vyalikaval, Malleshwaram and Sadashivanagar. The Maurya Sankey Boat Club offers guests a wide variety of boat rides, for example, rowboats, pedal boats and motorboats.  "
Devanahalli Fort,bangalore," Known for its historical significance and archaeological brilliance, Devanahalli Fort is located 35 kms north of the city of Bangalore. Lately in ruins, the fort once was the birthplace and residence of the great warrior Tipu Sultan.  "
Maha Bodhi Society Temple,bangalore," A recent addition to the temples of Bengaluru, this one houses a library with a sprawling collection of texts and books on Buddhism and is constantly the hub of a number of spiritual retreats and lectures. "
Cycling,bangalore," Outskirts of Bengaluru are a cyclist's delight. One can rent a cycle from the multiple cycle groups available here such as Namma Cycle, Bums on the saddle, Bike Zone etc. "
Bangalore Aquarium,bangalore," Located in Cubbon Park, the Bangalore Aquarium is the most famous and largest aquarium in Bangalore and the second-largest in India. It offers on display a variety of ornamental and exotic cultivable fishes including Siamese Fighters, Catla, Freshwater Prawns, Goldfish, Red Tail Shark and many others.  "
Ragigudda Anjaneya Temple,bangalore," Ragigudda Sri Prasanna Anjaneya Temple is dedicated to the Hindu God- Hanuman. It also houses a Shivalinga and beautiful shrines of Ram, Sita and Lakshman. "
Venkatappa Art Gallery,bangalore," Located in the premises of Karnataka Government Museum, Venkatappa Art Gallery situated on Kasturba Road, Cubbon Park flaunts over 600 paintings. Named after the most famous artist of Bangalore city - K. Venkatappa, the gallery houses resplendent works of other renowned artists as well. "
Vineyard Tours,bangalore," As uncommon as it sounds, visiting the various vineyards hidden in the outskirts of Bangalore is one of the best and most fascinating activities to indulge in during the cooler months. Spend the day watching and learning about the wine-making process, and finish the day by treating your taste buds to the lavish richness of bottled elixirs.  Vineyard visit in Bangalore has become the perfect alternative option for those who love to take the offbeat track.  "
